EDH,TM_ID,EDCS
"040745","206458","09801217"
"041635","207148","09801841"
"039817","205961","09800760"
"041165","206789","09801503"
"040123","206136","09800911"
"040892","206565","09801307"
"031126","201003","13000618"
"041516","207070","09801767"
"041264","206865","09801574"
"040676","206429","09801189"
"040137","206146","09800920"
"040370","206302","09801068"
"041179","206802","09801515"
"039830","205971","09800769"
"033445","205838","20300108"
"039745","205925","09800729"
"033454","205841","20300132"
"000874","198786","08500644"
"059356","202680","06000444"
"031489","205767",""
"039780","205941","13003450"
"002952","204714","20100187"
"021010","199934","13900478"
"059444","202768","06000576"
"041094","206754","09801470"
"059378","202702","06000477, 06000478"
"041257","206860","09801569"
"041305","206890","09801598"
"002763","198809","08600647"
"041050","206723","09801445"
"039860","205990","09800788"
"033478","205849","23100157"
"040607","206372","09801135"
"039736","205919","09800724"
"031030","200986","24501482"
"004354","198859","09200548"
"040402","206325","09801091"
"040990","206663","09801388"
"040060","206093","09800879"
"040894","206567","09801309"
"003012","198821","00300193"
"041421","206983","09801684"
"031192","205672","20600130"
"008157","199021","07600462"
"040306","206249","09801016"
"040804","206493","09801249"
"040747","206460","09801219"
"041038","206711","09801432"
"040935","206608","09801344"
"031519","205777","23100069"
"040867","206556","09801300"
"059355","202679","06000443"
"040976","206649","09801376"
"041168","206792","09801506"
"004501","198865","09200562"
"039883","206001","09800798"
"000370","198747","08500625"
"000373","198748","08500626"
"000385","198752","08500628"
"000388","198753","08500629"
"000394","198755","08500631"
"000397","198756","08500632"
"000405","198759","08600645"
"000406","198760","13100023"
"000408","198761","08600646"
"000411","198763","25401742"
"000412","198764","08500638"
"000415","198766","08500639"
"000417","198767","08600650"
"000418","198768","08500640"
"000420","198769","08600649"
"000423","198771","08600648"
"000427","198774","24300174"
"000429","198775","65000121"
"000439","198778","08500635"
"000445","198779","24501052"
"000447","198780","17700482"
"000453","198781","08600651"
"000456","198782","08600652"
"000459","198783","13003736"
"000474","198784","08600658"
"000489","204690","08600665"
"000493","204691","20600076"
"000768","204694","08600662"
"000771","204695","08600663"
"000774","204696","08600664"
"000862","198785","09400700"
"001195","198788","08600912"
"001216","198790","09200552"
"001348","198793","08600653"
"001351","198794","08600655"
"001354","198795","08600656"
"001860","198798","08400559"
"001863","198799","08400560"
"001929","198800","08400553"
"001932","198801","08400554, 08400555"
"001947","198802","08400557"
"001950","198803","08400556"
"002036","198804","13400167"
"002320","198806","08400558"
"002390","204702","08300572"
"002393","204703","20100188"
"002408","204704","08300573"
"002411","204705","08300574"
"002430","204707","08300571"
"002454","204709","08300575"
"002456","204710","13600417"
"002736","198808","22000659"
"002949","204713","08300578"
"002955","204715","20100203"
"002961","204716","59600012, 45300226, 45300227, 45300228"
"002964","204717","08300579"
"002967","204718","08300580"
"002969","204719","08300582"
"002970","204720","20300015"
"002972","204721","08300583"
"002982","198811","10300622"
"002985","198812","08300555"
"002991","198814","08300557"
"002994","198815","08300558"
"003000","198817","08300560"
"003003","198818","08300561"
"003006","198819","08300562"
"003009","198820","08300563"
"003015","198822","08300565"
"003018","198823","08300566"
"003021","198824","08300567"
"003024","198825","08300568"
"003027","198826","08300569"
"003030","198827","08300570"
"003033","198828","02000002"
"003472","198830","09001576"
"003475","198831","09001575"
"004092","198833","06000473"
"004162","198834","08900651"
"004171","198836","08900659"
"004196","198837","07600465"
"004199","198838","07600466"
"004202","198839","07600467"
"004226","198840","12800687"
"004235","198843","13100001"
