place_name,province,longitude,latitude,inscription_count,Pleiades_ID
"Bou-Zitouna, Hr. / Bou Zitoun",Numidia,10.845206,36.795259,3,
Boub Rahim,Numidia,,,1,
Bouchetata Mahmoud / Praxbourg,Numidia,6.7967489,36.7923227,1,
Bouhadjar / Bou Hadjar / Sigus,Numidia,8.1060862,36.5034174,403,
Boukhari / Bukhari,Numidia,,,1,
Boulechral,Numidia,,,1,
Boumagueur / Bou Megueur,Numidia,5.5525246,35.5051588,3,
Boumalek / Bou Malek,Numidia,6.2309043,36.2803356,10,
Bounouara / Bou Nouara,Numidia,6.807644,36.2112035,1,
Bourbaki,Numidia,1.966667,35.6666669,1,
Brahim Ben Youssef,Numidia,,,3,
Braktia,Numidia,,,1,
Casbah / Kasbah,Numidia,3.0595865,36.7846766,2,
Cedra,Numidia,,,1,
Chaabet Erssas,Numidia,6.631611,36.332188,1,
Chabersas,Numidia,6.6215775,36.367033,2,
Chabet el Matia,Numidia,,,1,
Chabet el-Diss / Chabet ed-Diss,Numidia,0.8731,35.4511,1,
Chateaudun du Rhumel / Bordj Mamra,Numidia,6.166219,36.157009,5,
Chelghoum Laid,Numidia,6.1673286,36.1605629,1,
Chemora / Thamugadi,Numidia,6.6433334,35.6670882,1,
Cheria,Numidia,7.7527115,35.2706778,5,
Chetaibi,Numidia,7.379979,37.0650385,1,
Chettaba / Chettabah / Fundus Seneci[],Numidia,6.4442481,36.317336,74,
Chott el Beida,Numidia,8.8895,33.405823,2,
"Chouafa, Djebel / Chouafa, Gebel",Numidia,6.1644444,36.3280556,1,
Col de Sla,Numidia,,,1,
Collo / Chullu,Numidia,6.5700192,37.0066244,29,305063
Constantine / Bordj Saguiet er Roum / Cirta,Numidia,6.60826,36.364519,1701,305064
Daher el-Kammine,Numidia,,,4,
Dahmouni / Trumelet,Numidia,1.4746045,35.4167989,1,
Dar Aroussa,Numidia,,,1,
"Dar el Ghoula, Argoub / Tenelium",Numidia,8.8633333,36.7911111,65,
Debbache el Hadj Douadi,Numidia,6.17852,36.27552,14,
"Defla, Ain ed / Defla, Ain el",Numidia,6.534444,36.50111,4,
Dehiret el-Haouia,Numidia,7.930502,35.155552,1,
"Diba, Hr. / Ksar Kalaba / Gibba",Numidia,,,12,
Djebana Chrait,Numidia,,,1,
Djebel Aich el-Guettar / Gebel Aich el-Guettar,Numidia,0.815833,36.087778,2,
Djebel Doukkan / Gebel Doukkan,Numidia,8.01187,35.327461,1,
Djebel Nif en-Nser / Gebel Nif el-Nser,Numidia,6.4880556,35.955,1,
Djebel Onk / Gebel Onk,Numidia,7.9594181,34.7139951,1,
Djebel Ouach / Gebel Ouach,Numidia,6.786815,36.394016,3,
Djebel Tafrent / Gebel Tafrent,Numidia,6.64193003,36.4064957,1,
Djebel Tamtilia,Numidia,7.4488889,35.3372222,1,
Djebel Taya / Gebel Taya,Numidia,7.1215077,36.5014582,1,
Djebel Tizagrout,Numidia,6.5477778,35.4152778,1,
Djebel el-Oncol / Gebel el-Oncol,Numidia,,,1,
Djebel es-Stah / Gebel el-Stah,Numidia,7.9713889,35.4491667,1,
Djemila / Cuicul,Numidia,5.7371562,36.3146187,731,305068
Djemma Titaya,Numidia,,,1,
Djemorah,Numidia,5.8448638,35.0689799,1,
Djenan Lous,Numidia,,,1,
Djenan Serir,Numidia,,,14,
Djenan ben Lakmar,Numidia,,,1,
Djendel,Numidia,2.4153796,36.2192263,5,
"Djerouda, Hr.",Numidia,,,1,
Douar Guettara,Numidia,,,1,
Douar Oulad Moumen,Numidia,8.769722,36.749168,4,
Douar Ouled Sala,Numidia,,,1,
Douar Yamidene,Numidia,,,1,
Doucen / Dusen,Numidia,5.1029298,34.5975449,10,
Dra el Abiod,Numidia,3.6483333,36.6330556,2,
Dra el-Ksar / Nicivibus,Numidia,5.558405,35.581843,2,
Draa Beni Mestiri,Numidia,,,1,
Draa Zaaroura,Numidia,,,2,
Draa el-Aayun,Numidia,,,1,
Drah El Hammam,Numidia,,,2,
Drean,Numidia,7.7470888,36.6851201,1,
Eifer,Numidia,,,1,
El Aala,Numidia,,,4,
El Agouna,Numidia,5.9155556,34.9744444,1,
El Aouinet,Numidia,7.8888473,35.8628373,1,
El Aria,Numidia,6.831491,36.318031,7,
El Atasch,Numidia,,,1,
El Atech,Numidia,,,8,
El Bahira,Numidia,6.561389,36.065277,12,
El Beger,Numidia,,,1,
El Benia,Numidia,5.650452,34.644127,1,
El Bir,Numidia,4.965532,36.536884,13,
El Eulma,Numidia,5.685081,36.156449,2,
El Eulma / Saint-Arnaud,Numidia,5.6911588,36.1529057,11,
El Gamra,Numidia,,,15,
El Gehara,Numidia,,,15,
El Gerria,Numidia,,,1,
El Ghara,Numidia,,,3,
El Gosset-mta-el-Arneb,Numidia,,,14,
El Guetna,Numidia,-0.0571613,35.4083104,1,
El Guis,Numidia,,,2,
"El Hachani, Foret d'",Numidia,7.314169,36.19524,4,
El Hadjaj / El Hadjedj,Numidia,6.4050738,35.2677975,10,
El Hadjar,Numidia,7.7371328,36.8039598,2,
El Haffaf,Numidia,,,3,
El Hamacha / El Hamascha,Numidia,,,7,
El Hanacher,Numidia,,,4,
El Haouar,Numidia,,,2,
El Harmel,Numidia,5.779819,35.646007,1,
El Harrouch / El Arrouch,Numidia,6.8360907,36.6514052,9,
El Hassi,Numidia,5.9503611,35.7804724,1,
El Houari,Numidia,,,1,
El Kantara / Calceus Herculis,Numidia,5.7092844,35.2231152,72,
El Kessaria,Numidia,,,1,
El Kessour,Numidia,1.568594,36.530697,12,
El Khala,Numidia,,,1,
El Kharba,Numidia,5.2658118,35.9697049,10,
El Khroub,Numidia,6.6970014,36.2603681,5,
El Koudia / Coudiat / Koudiat Aty,Numidia,6.6065873,36.3610418,1,
El Ksaria,Numidia,,,1,
El Ma Labiodh / El Ma Abiod / El Ma el Abiod / Kherbet el Ma el Abiod / El Abiod,Numidia,8.1719694,35.2060924,25,
El Mader,Numidia,,,1,
El Mahras,Numidia,,,1,
El Maiz,Numidia,,,4,
El Malha / Uzelis,Numidia,6.381765,36.3773985,113,
El Mechira / M'Chira / Vicus Antoniae Saturninae,Numidia,6.2310415,36.0124496,21,
El Mellah,Numidia,,,2,
El Meraba / Kherba / Khorba Beni Welban / Castellum Celtianum / Celtianis,Numidia,6.588689,36.838344,1309,
El Meridj,Numidia,8.2292549,35.7933758,3,
El Merra / Merra,Numidia,5.5501517,36.3705185,5,
El Milia,Numidia,6.2744614,36.7514104,6,
El Oghab,Numidia,,,2,
El Ogla,Numidia,6.9460807,33.2465995,1,
El Outhaia / El-Outhaya / Uthaia / Mesarfelta,Numidia,5.592835,35.036204,5,
El Quessaria,Numidia,,,2,
El-Abiad,Numidia,,,1,
El-Akrich,Numidia,,,3,
El-Asreg / El-Azreg,Numidia,,,3,
El-Aziza / An-Aziza,Numidia,,,1,
El-Gara,Numidia,7.7833333,34.7666667,1,
"El-Hamma / el-Hammam, Hr. / Aquae Flavianae",Numidia,7.0836946,35.4642089,40,
El-Hassi,Numidia,5.4581235,36.1782475,1,
El-Madher / El-Mahde / Casae,Numidia,6.3706722,35.6258746,37,
El-Mahrab,Numidia,6.1058333,35.2363889,1,
Emdjaz Edchich / Emdjez Edchich / Em Jez ed Chich,Numidia,6.8043312,36.7051396,4,
Erkeb,Numidia,,,1,
Es Sebt,Numidia,7.0789293,36.6626464,2,
"Et Touta, Hr. / Thac[]",Numidia,10.47,36.640556,1,
Ez Zemma,Numidia,,,4,
Fagues,Numidia,4.3667,35.6667,1,
Fedj Bou Kahil,Numidia,3.8333,34.4167,4,
Fedj Deriass,Numidia,,,13,
Fedj El Msaoui,Numidia,,,1,
Fedj Grib,Numidia,,,1,
Fedj Mzala,Numidia,6.7006,36.7783,9,
Fedj es Siouda,Numidia,8.266664,35.199995,4,
Fedjous,Numidia,,,1,
Fedsous,Numidia,,,1,
"Fegousia, Hr.",Numidia,,,3,
Fegusia,Numidia,,,4,
Feid el Louere,Numidia,,,1,
Feidjet-el-Groussa,Numidia,,,1,
Ferdjioua,Numidia,5.9419603,36.4073812,2,
Ferdoua,Numidia,6.2921811,36.5054767,1,
Ferme Fergati,Numidia,,,8,
Ferme Ferrando,Numidia,,,1,
"Ferroukh, Djebel",Numidia,6.8738889,35.9402778,2,
Fesdis / Festis,Numidia,6.2464392,35.6181167,1,
Fouem-el-Amba,Numidia,,,2,
Foum Ktiba,Numidia,6.8166667,35.4519444,2,
Foum Toub,Numidia,6.5503509,35.404396,1,
Foum-Krazza,Numidia,,,1,
Foum-Meriel,Numidia,,,1,
Fuanis,Numidia,,,2,
Gabara Jaal,Numidia,,,1,
Gabel Snobra,Numidia,,,15,
Gagha,Numidia,,,1,
Gasriya,Numidia,,,2,
Gesses,Numidia,,,6,
Ghar el Djemaa,Numidia,,,57,
"Ghellel, Hr. / Ghelil",Numidia,,,10,
Gloua et Trab,Numidia,6.4805556,35.4555556,1,
Gosset / Ucubi,Numidia,,,12,
Guechgach,Numidia,,,1,
Guel-es Saker,Numidia,,,1,
Guelaat,Numidia,,,4,
Guelaine,Numidia,,,11,
Guellil,Numidia,5.697932,35.629422,8,
Guert,Numidia,4.928381,36.297321,1,
"Guesses, Hr.",Numidia,6.5616872,35.5539933,3,
"Guidjaou, Ain",Numidia,6.6438889,36.2833333,1,
Guigba / El Guigba,Numidia,5.5896477,35.7341561,1,
Gunifida,Numidia,,,7,
Hadjar Merkeb,Numidia,,,1,
Hadjar Tseldji,Numidia,,,2,
Hadjar el Orab,Numidia,,,1,
Hamala / Milev,Numidia,6.3391852,36.571449,6,
Hammadi Krouma,Numidia,6.929106,36.8441177,2,
Hammam Berda,Numidia,,,1,
Hammam Charef,Numidia,2.840824,34.636386,1,
Hammam Meskoutine / Aquae Thibilitanae,Numidia,7.270135,36.459865,39,
Hammam Sidi el Hadj / Aquae Herculis,Numidia,5.6232884,35.1004378,5,
"Hammam, Hr. el / Hammam",Numidia,9.8825,36.039165,38,
Hammet,Numidia,,,1,
Hammimat Arkou,Numidia,7.1258333,36.0808333,1,
Hamrouch Hammoudi,Numidia,6.9538317,36.8467621,3,
Hamza / Chamsa,Numidia,5.6813477,36.747034,3,
Haneb,Numidia,,,1,
Haouch Arif / Lambiridi,Numidia,6.530833,36.13139,25,
Haouen el Kaouch,Numidia,,,1,
Haracta El Beida,Numidia,,,1,
"Hodna, Plaine du",Numidia,4.550768,35.638515,5,
Ibn Ziad / Ebn Ziad / Rouffach / Rouffak / Castellum Elefantum,Numidia,6.4720589,36.3829267,686,
"Jebbana, Hr.",Numidia,9.123937,35.335773,4,
Jijel / Igilgili,Numidia,5.771494,36.8167305,15,
"Kabala, Hr.",Numidia,,,1,
Kabaout,Numidia,,,1,
"Kahla, 'Ain",Numidia,,,36,
Karoubi / Caroubi,Numidia,,,1,
Kasria,Numidia,,,1,
Kebaba,Numidia,5.6909401,36.6130144,1,
Kef Tazerout,Numidia,,,3,
Kemellel,Numidia,,,4,
Kesur el-Ghennaia,Numidia,,,17,
"Khalifa, Hr.",Numidia,9.78,36.478611,2,
Khaneba,Numidia,,,2,
Khanguet Nasser,Numidia,,,2,
Khanguet Sidi Nadji / Khenguet Sidi Nadji / Khangat Sidi Nadji,Numidia,6.7059204,34.8053146,1,
Kharabed,Numidia,,,1,
"Khemissa / Khamissa, Hr. / Thubursicu Numidarum",Numidia,7.6514541,36.1948087,792,305166
Khenchela / Mascula,Numidia,7.145711,35.430154,130,334587
Kherba M'becheni,Numidia,,,1,
Kherbet El Mahrab,Numidia,,,1,
Kherbet Hassena / Nicivibus,Numidia,5.619584,35.582722,3,
Kherbet Mharas,Numidia,5.559316,35.50736,1,
Kherbet Ouled Kayim,Numidia,,,3,
Kherbet Salem,Numidia,,,1,
Kherbet Zemmouri,Numidia,,,1,
Kherbet el Bir,Numidia,,,2,
Kherbet el Mahri,Numidia,,,1,
Kherbet ez Zemmouri,Numidia,,,1,
Kherbet-Ouarlel,Numidia,,,1,
Kherbet-bou-Addoufen,Numidia,,,1,
Kherbet-bou-Derbala,Numidia,,,1,
Kherbet-el-Kebira,Numidia,,,1,
Kherbet-el-Lebba,Numidia,,,4,
Kherbet-el-M'dauer,Numidia,,,2,
Kherbet-el-Tabtba,Numidia,,,1,
Kobr Roumia,Numidia,3.816335,36.814389,1,
Koreiba,Numidia,,,3,
Koudiat Birou,Numidia,,,1,
Koudiat Karba,Numidia,,,11,
Koudiat Mazoulan,Numidia,,,1,
Kourbana,Numidia,,,2,
Krakir,Numidia,,,2,
Ksar / El Ksar,Numidia,5.3271633,31.9673399,5,
Ksar Adjeledj,Numidia,,,1,
Ksar Belkassem,Numidia,,,1,
Ksar Bellezma / Lamasba,Numidia,5.9021516,35.6762717,94,
Ksar Djerbania,Numidia,,,1,
Ksar Gurai,Numidia,,,4,
Ksar Maafouna,Numidia,,,4,
Ksar Mahidjiba / Castellum Fabatianum,Numidia,6.832552,36.283833,113,
Ksar Malek,Numidia,8.23,35.53,1,
Ksar Sbahi / Gadiaufala,Numidia,7.2581916,36.0815345,67,
Ksar Tebinet,Numidia,8.038796,35.350338,6,
Ksar el Abiad,Numidia,,,7,
Ksar el Boum,Numidia,,,1,
Ksar el Haimeur,Numidia,,,1,
Ksar el Hamar,Numidia,,,1,
Ksar el Khadia,Numidia,,,1,
Ksar el-Birsgaun,Numidia,,,11,
Ksarde,Numidia,,,1,
Ksiba / Civitas Popthensis,Numidia,10.6245659,35.7696159,23,
Kudiat Mta Bir Zudar,Numidia,,,1,
Kuschada,Numidia,,,1,
La Hamma,Numidia,,,8,
Laghouat,Numidia,2.7779813,33.4073806,12,
Lambaesis,Numidia,6.2547505,35.4891097,2634,334570
Lambridi / Coudiat Tiza / Lambiridi,Numidia,6.0771864,35.5045821,30,
Le Bourbier,Numidia,,,1,
Lecourbe,Numidia,4.747421,35.979225,1,
Lesfa,Numidia,,,3,
Lkhadra oua Hamra,Numidia,,,5,
Loulou,Numidia,,,10,
M'Lili / El-Kasbat / Gemellae,Numidia,5.56434,34.6678386,100,
M'Taan N'ssara,Numidia,,,1,
M'dukal,Numidia,4.2333355,35.316633,1,
Mabrek,Numidia,,,1,
"Mafouna, Hr. / Lamsorti",Numidia,6.033123,35.642601,4,
Maider el Guefail,Numidia,,,2,
Mamra / Thamugadi,Numidia,6.9731597,35.9419919,2,
"Maqrun, Hr. al",Numidia,8.833333,34.983334,6,
Markouna / Marconna / Verecunda,Numidia,6.2897085,35.4887175,113,334662
Marouga,Numidia,,,1,
"Mebdua, Uadi",Numidia,12.37612,31.787928,2,
Mechta 'Ain Keskes,Numidia,7.749099,35.828224,6,
Mechta 'Ain Taya,Numidia,7.1167,36.4833,2,
Mechta 'Ain el Msad,Numidia,6.0758,36.5033,3,
Mechta Beni Foughai,Numidia,,,1,
Mechta Beni Oukdene,Numidia,,,3,
Mechta Bir el Askria,Numidia,7.086275,35.920822,11,
Mechta Bou Charef / Zugal,Numidia,6.14228,36.341557,65,
Mechta Bouchen,Numidia,,,1,
Mechta Chabet Zizi,Numidia,7.419152,35.540462,7,
Mechta Chabet el Beida,Numidia,,,1,
Mechta Djebabra,Numidia,7.46602,35.442856,1,
Mechta Djerma Dahra,Numidia,6.266667,35.683333,5,
Mechta Djillaoua / Thigillava,Numidia,5.705251,36.262939,23,
Mechta Dra el-Tartas,Numidia,,,1,
Mechta Draa el Maad,Numidia,5.3,35.95,1,
Mechta Gharnouta,Numidia,,,1,
Mechta Kesmia,Numidia,,,1,
Mechta Kherba,Numidia,5.485369,36.24754,3,
Mechta Kiher,Numidia,,,1,
Mechta M'Benia,Numidia,,,3,
Mechta Mahadjiba,Numidia,,,1,
Mechta Messaoud ben Sassi,Numidia,,,2,
Mechta Msid el Foukania,Numidia,6.416667,36.650002,1,
Mechta Nahar / Mechta Nehar / Mechtar Nahar / Caldis,Numidia,6.464885,36.488417,127,
Mechta Oued Tag,Numidia,,,1,
Mechta Oulad Hazem,Numidia,6.935471,36.027027,4,
Mechta Ouled Djemil,Numidia,,,1,
Mechta Ouled Zerara,Numidia,,,1,
Mechta Oum Baba,Numidia,,,3,
Mechta Ras el Kef,Numidia,8.122167,36.329262,2,
Mechta Ras el Ksar,Numidia,6.642778,36.108891,4,
Mechta Ras et Trouch,Numidia,7.56,35.93,7,
Mechta Reggada,Numidia,7.27391,36.940632,2,
Mechta Safel Ogla,Numidia,,,1,
Mechta Sfar Srhir,Numidia,7.407633,35.71067,1,
Mechta Sidi Bou Djemas,Numidia,,,2,
Mechta Tadjine,Numidia,6.241184,35.67614,1,
Mechta Tafrent,Numidia,6.64193003,36.4064957,1,
Mechta Tairao / Meshta Tairau / Mechtat Tairao / Mechta Tayaraou,Numidia,6.4263,36.69209,1,
Mechta Tamarit,Numidia,5.945696,35.813061,2,
Mechta Tedradjine,Numidia,,,3,
Mechta Tiouermas,Numidia,,,1,
Mechta des Ouled Arar,Numidia,,,1,
Mechta el Amhatar,Numidia,,,1,
Mechta el Heddi,Numidia,,,3,
Mechta el Oussera,Numidia,8.197829,34.966221,26,
Mechta el Tein,Numidia,,,1,
Mechta er Resfa,Numidia,,,1,
Mechta-Si-Salah,Numidia,5.745579,35.818716,3,
Mechta-Sidi-Mohammed,Numidia,,,3,
Mechtat Ali el Bani,Numidia,6.5411,36.3683,13,
