place_name,province,longitude,latitude,inscription_count,Pleiades_ID
Bir Bou Rekba / Bi'r Bu Ruqbah / Ksar el-Zit / Ksar ez Zit / Gasr Essitt / Qasr az Zayt / Siagu / Civitas Siagitana,Africa proconsularis,10.5858786,36.4292611,21,
Bir Cedra,Africa proconsularis,,,2,
Bir Derbal,Africa proconsularis,,,2,
Bir Derroudj,Africa proconsularis,,,1,
Bir Djezzara,Africa proconsularis,10.0527778,36.7497222,3,
Bir Douaik,Africa proconsularis,,,1,
Bir Drassen / Bir Drassene,Africa proconsularis,10.6886311,36.6240777,2,
Bir Ech Chana / Bir el-Chana / Bir Chana,Africa proconsularis,10.1,36.433334,2,
"Bir Essefir, Hr.",Africa proconsularis,,,3,
Bir Halima / Bi'r Halimah / El-Khandak / Abbir Maius,Africa proconsularis,10.0444093,36.3963592,12,
Bir Hannachi / Bir Hanachi,Africa proconsularis,7.6491667,35.4613889,1,
Bir Laafou,Africa proconsularis,,,2,
Bir Magra / Thibica,Africa proconsularis,9.7579662,36.3357885,18,
Bir Mangub,Africa proconsularis,,,3,
Bir Marbot / Bir Mrabott / Henchir Marbot / Henchir Mrabet / El Amaiem,Africa proconsularis,9.107996,34.253896,2,
Bir Meraktite / Bir Merakite,Africa proconsularis,,,1,
Bir Musa,Africa proconsularis,,,1,
Bir Ouled el-Gelai / Bir Uled el-Gelai,Africa proconsularis,,,1,
Bir Rhezen / Sidi Mohammed Ben Aissa / Bezereos,Africa proconsularis,9.4981291,33.5037011,8,
Bir Scedeua,Africa proconsularis,13.45,31.2833333,1,
"Bir Sofuir, Hr.",Africa proconsularis,,,1,
Bir Tabenk,Africa proconsularis,,,3,
Bir Tarsin,Africa proconsularis,,,1,
Bir Tersas / Praedia Rufi Volusiani / Thugga,Africa proconsularis,9.3018342,36.4630767,6,
Bir Tlelsa / Tielsa,Africa proconsularis,10.9026593,35.6510544,3,
Bir al Mashariqah / Bir Mcherga / Bir Mcharga / Tarf el Mcherga / Giufi,Africa proconsularis,9.9548905,36.5186996,39,
"Bir ben Faiza, Hr. / Thugga",Africa proconsularis,9.3335725,36.5262819,2,
"Bir el Bey / Sidi Ali el-Kafi, Hr. / Nara",Africa proconsularis,9.3386111,35.0880556,1,
Bir el Goussate,Africa proconsularis,9.733333,36.016667,2,
Bir el Haj Ahmed / Bir el-Hadj Ahmed,Africa proconsularis,9.8711111,36.4277778,1,
Bir el Hajar / Bir el-Hadjar / Bit el-Hadjar,Africa proconsularis,9.9755556,35.3747222,3,
Bir el-Achmin,Africa proconsularis,,,7,
Bir el-Adine,Africa proconsularis,9.7466667,35.6669444,2,
"Bir el-Afu, Hr.",Africa proconsularis,,,5,
Bir el-Fauwara,Africa proconsularis,,,2,
Bir el-Hadj Mahmoud el-Aouine,Africa proconsularis,,,1,
Bir el-Hanascher,Africa proconsularis,,,4,
"Bir el-Niar, Hr. / Bir en-Niar",Africa proconsularis,,,1,
